# scripture-verbatim accepted/deferred near-miss flags — these stop surfacing.
# relpath <TAB> ref <TAB> quote-prefix (~40 chars).
# Record + classification: study/.audit/scripture-verbatim-carryforward.md
# (2 clean mid-elisions were fixed in-place 2026-06-13; these are deferred for a
#  future quoter-normalization pass — mostly acceptable trims, prepends, paraphrases.)
study/best-books-and-the-spirit-of-discernment.md	Mosiah 12:27	And ye have not applied your hearts to u
study/bom-walk/studies/alma12-13_redemption-and-priesthood.md	Alma 12:6	to bring you into subjection unto him, t
study/cfm/20260215-prophets-noah-parallel.md	Moses 8:21	Behold, we are the sons of God; are we n
study/endtimes-servant-footless.md	3 Nephi 21:10	But behold, the life of my servant shall
study/endtimes-servant.md	D&C 113:1-2	Who is the Stem of Jesse spoken of in th
study/endtimes-servant.md	D&C 113:3-4	What is the rod spoken of in the first v
study/enoch-charity.md	D&C 107:56	stood up in the midst of the congregatio
study/enoch.md	Moses 6:31	I am but a lad, and all the people hate 
study/four-groups-and-the-engineer.md	Matthew 6:22	If thine eye be single, thy whole body s
study/freedom/00-frame.md	D&C 87:8	stand in holy places, and be not moved
study/gadianton-robbers.md	Helaman 8:1	And behold, there were men who were judg
study/helaman-ten-virgins.md	3 Nephi 11:5	they did open their ears to hear it; and
study/helaman-why.md	3 Nephi 3:12	He was a just man, and could not be frig
study/iron-rod-anchor-and-the-four-groups.md	Hebrews 6	*not* leaving the principles of the doct
study/morgan-philpot/seven-dispensations-and-hannahs-son.md	1 Samuel 1:15	a woman of a sorrowful spirit… I have po
study/morm-8-three-glories-reading.md	Mormon 8:36	lifted up in the pride of their hearts, 
study/morm-8-three-glories-reading.md	Alma 5:21	No man can be saved except his garments 
study/only-begotten.md	Jacob 4:5	And it was accounted unto Abraham in the
study/plan-of-salvation/notes-01-premortal.md	D&C 29:36	And a third part of the hosts of heaven 
study/plan-of-salvation/notes-06-kingdoms.md	D&C 88:28	the glory by which your bodies are quick
study/plan-of-salvation/plan-of-salvation.md	D&C 132:24	And this is eternal lives — to know the 
study/plan-of-salvation/plan-of-salvation.md	Revelation 12:11	won by the blood of the Lamb, and by the
study/priestcraft-beguile.md	Alma 18:22-23	Now Ammon being **wise**, yet **harmless
study/priestcraft.md	Mark 14:1	The **chief priests** and scribes sought
study/softening-what-i-cannot-soften.md	Mosiah 3:11	those who have died not knowing the will
study/translated-beings.md	Ether 12:17	By faith the three disciples obtained a 
study/truth-atonement.md	D&C 93:12	received not of the fulness at first
study/truth-enjoy.md	4 Nephi 1:15	the love of God *did dwell* in the heart
study/yt/farrell-pickering/05_millennial_hope.md	D&C 84:98-99	Until all shall know me, who remain, eve
study/zion-blueprint.md	3 Nephi 27:27	What manner of men ought ye to be? Even 
